row_id,TEXT,LABEL
0,good to know if you can t find these elsewhere .,1
1,"love it !  the grill plates come out and pop in the dishwasher ,  which is fantastic .",1
2,i m convinced this was a poorly executed refurbished unit as small repairs could be seen in many pieces .,0
3,"i would never have complained about that if it would just keep working ,  for gosh sakes .",0
4,"the photo shows the same whole ,  large candies we ve always gotten .",0
5,he finds it to be extremely boring and will play with the  more advanced  musical toys instead .,0
6,"rusho ,  i followed your mounting procedures and they work great !  !  !  .",1
7,the air bubble will go down the side and the bottle will not break .,1
8,i was searching for good moisturizing serum with anti aging effect .,0
9,i take care of my things and this was a waste .,0
10,has a taste and consistency that just didn t work for our family .,0
11,what is frass ?  to put it delicately .  .  . bug poop .,0
12,i consider this product to be a conditioner .,0
13,"if it doesn t fit inside the rim ,  the seat will not sit level or securely .",0
14,"the front comes covered with a sheet of plastic ,  as does the back of the lcd .",1
15,i don t know if that helps justify a purchase but it seems unusual for a cell to have . included num_extend,1
16,"the smell wasn t of coffee ,  it was of some air freshener you d find in a gas station checkout .",0
17,it amazes me how self destructive people are .,0
18,but i d rather pay $ for a new case instead of $ for a new phone .,1
19,it is ideal for small chopping jobs such as chopping garlic and ginger or small amounts of parsley .,1
20,"the smell was overpoweringly gingery ,  and i hoped it didn t taste like it smelled .",0
21,this pan has been the workhorse in the kitchen for the last num_num years .,1
22,"the digital controls let you set the humidity level you want ,  and the fan speed .",1
23,"too small ,  and appearance was not what i hoped for either .",0
24,the removable top from which the popcorn emerges becomes very hot when in use .,1
25,"her cookies ,  which have always been great ,  are even better now with this sheet .",1
26,"the user guide has more information on how to use gestures ,  unique to this platform ,  than other aps .",1
27,the conditioner is a little sticky but it leaves the hair a mess .,0
28,"it was difficult ,  challenging ,  and you had to really play it to beat it .",0
29,i only gave it four stars because num_extend,1
30,"but there are other fiestaware bowl options with more graceful lines . colors are ,  as expected with fiestaware ,  outstanding .",1
31,clean up is a breeze and the rice comes out fluffy and better .,1
32,been using this protector for a few weeks .,1
33,it is round and so many are square .,1
34,the only thing i dont like about it is it doesnt come with a lid .,1
35,"they are interesting in theory and idea ,  but in practice they re a bit disappointing .",0
36,the colors are nice but after a year of use they started to wear away .,1
37,always seems to work fine and no issues as of yet .,1
38,anything you try to cook in it will scorch unless you watch it like a hawk .,0
39,"there are no handles on the egg holding tray ,  and it s metal besides .",0
40,"suddenly ,  i had the worst heart palpitations in my life .",0
41,i cook bulgogi as well as shabu shabu .,1
42,then the next day i wanted to play with it again .,0
43,but i would not buy it as a gift for another kid .,0
44,made a whole chicken in less than num_extend,1
45,i am going to try the actual powder next time .,0
46,i probably would have rated this lower if it wasn t for how sick the chef micheal s brand made everyone .,0
47,i will definitely not but this one for my child .,0
48,just not good for this type of use .,0
49,it is difficult to line up the top and bottom .,0
50,"the plastic doesn t feel to comfortable but it s not bad ,  the light weight makes up for it .",1
51,this bench scraper is extremely efficient and practical .,1
52,i took this game back and exchanged it less than an hour after buying it .,0
