row_id,TEXT,LABEL
0,good know if you can't find these elsewhere .,1
1,"love it !  the grill plates come out pop in the dishwasher ,  which is fantastic .",1
2,i m convinced this was poorly executed refurbished unit as small repairs could be seen in many pieces .,0
3,"i would never have complained about that if it would just keep working ,  for gosh sakes .",0
4,"the photo shows the same whole ,  large candies we ve always gotten .",0
5,he finds it be extremely boring will play with the  more advanced  musical toys instead .,0
6,"rusho ,  i followed your mounting procedures they work great !  !  !  .",1
7,the air bubble will go down the side the bottle will not break .,1
8,i was searching for good moisturizing serum with anti aging effect .,0
9,i take care my things this was waste .,0
10,has taste consistency that just didn't work for our family .,0
11,what is frass ? put it delicately .  .  . bug poop .,0
12,i consider this product be conditioner .,0
13,"if it doesn't fit inside the rim ,  the seat will not sit level or securely .",0
14,"the front comes covered with sheet plastic ,  as does the back the lcd .",1
15,i don't know if that helps justify purchase but it seems unusual for cell have . included num_extend,1
16,"the smell wasn't coffee ,  it was some air freshener you d find in gas station checkout .",0
17,it amazes me how self destructive people are .,0
18,but i d rather pay $ for new case instead $ for new phone .,1
19,it is ideal for small chopping jobs such as chopping garlic ginger or small amounts parsley .,1
20,"the smell was overpoweringly gingery , i hoped it didn't taste like it smelled .",0
21,this pan has been the workhorse in the kitchen for the last num_num years .,1
22,"the digital controls let you set the humidity level you want , the fan speed .",1
23,"too small , appearance was not what i hoped for either .",0
24,the removable top from which the popcorn emerges becomes very hot when in use .,1
25,"her cookies ,  which have always been great ,  are even better now with this sheet .",1
26,"the user guide has more information on how use gestures ,  unique this platform ,  than other aps .",1
27,the conditioner is little sticky but it leaves the hair mess .,0
28,"it was difficult ,  challenging , you had really play it beat it .",0
29,i only gave it four stars because num_extend,1
30,"but there are other fiestaware bowl options with more graceful lines . colors are ,  as expected with fiestaware ,  outstanding .",1
31,clean up is breeze the rice comes out fluffy better .,1
32,been using this protector for few weeks .,1
33,it is round so many are square .,1
34,the only thing i dont like about it is it doesnt come with lid .,1
35,"they are interesting in theory idea ,  but in practice they re bit disappointing .",0
36,the colors are nice but after year use they started wear away .,1
37,always seems work fine no issues as yet .,1
38,anything you try cook in it will scorch unless you watch it like hawk .,0
39,"there are no handles on the egg holding tray , it s metal besides .",0
40,"suddenly ,  i had the worst heart palpitations in my life .",0
41,i cook bulgogi as well as shabu shabu .,1
42,then the next day i wanted play with it again .,0
43,but i would not buy it as gift for another kid .,0
44,made whole chicken in less than num_extend,1
45,i am going try the actual powder next time .,0
46,i probably would have rated this lower if it wasn't for how sick the chef micheal s brand made everyone .,0
47,i will definitely not but this one for my child .,0
48,just not good for this type use .,0
49,it is difficult line up the top bottom .,0
50,"the plastic doesn't feel comfortable but it s not bad ,  the light weight makes up for it .",1
51,this bench scraper is extremely efficient practical .,1
52,i took this game back exchanged it less than an hour after buying it .,0
53,i rinsed it off immediately put some sensitive skin cream on it .,0
54,"yes ,  you can make rice on the stove .",1
55,please do yourself favor stay far away from kitchenaid .,0
56,i predict many years great mixing ahead .,1
57,the issues i raise would be common any version this design .,1
58,if it really works i could care less about what it smells like .,0
59,and i felt like the cavewoman from encino man . the smelli tried like the smell .,0
60,haven't used it that long say if it gets dirty hard clean .,1
61,he loves them they fold up nice for travel .,1
62,"after all ,  if it was too loose ,  it d pop out everywhere be annoying .",1
63,my only complaint is that they aren't dishwasher or water freindly .,1
64,there s big hoopla about no artificial preservatives or flavorings .,0
65,i will check back see if any changes were made .,0
66,"as for the deathstar mission ,  the scenery is wrong .",0
67,"the shoe was even more beautiful in person that it is in the picture ,  but it was extremely narrow .",0
68,i would buy another one if my screen cracks again .,1
69,"a must have ,  if you own the cuisinart chefs classic set pans .",1
70,dump out the grinds rinse under water .,1
71,what you get might not be what you re expecting .,0
72,"honestly for such cheap price ,   not even $ shipped from usa  i wasn't expecting much this thing .",1
73,"i ve tried it more than once , it doesn't seem work for me .",0
74,i didn't like the taste once i mixed it with my coffee .,0
75,score !  i think i need one for myself now .,1
76,"the price may seem steep ,  but keep in mind this price includes shipping .",1
77,"make italian sausage ,  lots soups salads it really speeds up the process works very well .",1
78,i was amazed by how little effort it takes make great bread with this machine .,1
79,the cutscenes other mandatory dialogue take up so much time that there s little time left for your playing .,0
80,feels great in my hand fits the phone very well .,1
81,this fan easily switches from exhaust intake you can set the individual fans as well .,1
82,maybe num_num phone calls num_num text messages light web surfing .,0
83,"having played madden since sega genesis ,  i m expecting more .",0
84,i bought this as christmas present for someone .,0
85,i was horrified when i opened the box these cookies were shipped in .,0
86,i do keep my pitcher in the fridge all the time so i m sure that helps .,1
87,it is wobbly have had my bike almost fall off i as quick enough grab it  .,0
88,remote does not work my toshiba hd dvd player at all .,0
89,"took over the new oxo he killed num_num out seven on the first try ,  four in flight .",1
90,well this cable certainly didn't last long as the title says num_num weeks .,0
91,this is the best  electric broom  i have ever owned i have owned several  .,1
92,but it does sound little bit relaxed .,0
93,the colors in the game are really bad .,0
94,"these are soft plastic , i know people said they were short .",0
95,the keep warm feature is excellent maintains the quality the cooked rice as long as you need .,1
96,we only use it when necessary but unfortunately right now it is completely useless the batteries work fine .,0
97,we set the burner whatever level we need cook with then we cook .,0
98,it brings water the boil in just couple minutes .,1
99,we bought several use at party we had they worked great .,1
100,"nice quality ,  great for any size rod since you use own own hanger in it .",1
101,not sure i d like it if it were heavier .   .,1
102,"no special wires carry ,  no proprietary wires carry  you hear that apple ?  ?   .",1
103,"we use the griddle so much more often than we anticipated we would ,  so it s great have .",1
104,i like this because i can get perfect slices butter pats the measurement is spot on .,1
105,i took the scope off hit the target dead on .,0
106,i bought this for emergencies found myself using this lot .,1
107,i really don't remember why i ordered this was surprised when it arrived in the package .,0
108,"sorry ,  but disney s  crown jewels  can't compete with final fantasy xii  or even x  .",0
109,"but i am thinking ,  if you had some nice effect topcoats ,  it could be salvageable .",0
110,"it had , started dripping out nearly every joint crevice on the device .",0
111,i can walk around my apartment without losing signal .,1
112,material was soft the design is nice .,0
113,good noise canceling in other environments . not good outside in wind even with new mic grill .,1
114,"i was looking for covered saucepan made in the usa , this one is quite satisfactory .",1
115,one the hinges on the arms had bent .,0
116,"this holster is sizable ,  especially when driving with seat belt on .",1
117,"it has not hurt me ,  but has not helped either .",0
118,"i bought one for myself unfortunately ,  i have larger space cool than my folks do .",1
119,feels like nails pressing into your ear canal .,0
120,but at that price it s no big deal .,1
121,i cut off the tail but it lost its charm .,0
122,i am still maruchan noodle lover tho  :   .,0
123,this iphone case stands out as having had some real thought put into its design .,1
124,"lodge ,  ,  ,  ,  purchased as one my husbands gifts for xmas .",1
125,why cant i give it negative stars ?  the receiver beeped while in the house .,0
126,i really like it as it is great dry up the salad .,1
127,i can't use this product because the perfume is so strong it would give me headache .,0
128,my husband spilled whole glass wine on our very light colored carpet .,1
129,there s little bump where the plastic piece used sit .   the kettle is fast convenient .,1
130,the oxo can opener isn't that different in basic design from any other manual can opener .,1
131,the chocolate moo is even better but tends separate when standing .,1
132,i didn't even try give it away .,0
133,"if you are used the drip coffee makers ,  you will find percolator bit more work .",1
134,i haven't taken it for full month yet but i haven't noticed any improvements at all yet .,0
135,i rented this game while back because it s innovative idea .,0
136,received the product last week used it first time today .,0
137,it s not big geal but would be helpful if you re doing other things as well .,1
138,you won't go wrong with these bowls they are an excellent value boot .,1
139,"when i selected vaseline sheer infusion body lotion thru the vine program ,  i was really excited .",0
140,num_num  cups espresso is not even one full cup american coffee . there s no need hesitate .,1
141,"use it for home use ,  no issues .  .  . very durable easy use .",1
142,they don't absorb odors or food particles are easy clean .,1
143,"i purchased this at pet store for my lab , he cannot figure it out .",0
144,they are good substitute for the high end glasses .,1
145,"android num_extend is great . if you prefer phone with real keyboard ,  you should look into the samsung intercept .",1
146,the plates can run through the dishwasher without damage .,1
147,the second one looked bad but tasted great .,1
148,there was no explanation on this but it did seem lessen on subsequent batches .,1
149,no heat is detected when you use it it doesn't slip off easily .,1
150,i bought these because i didn't want use plastic store food anymore .,1
151,i m not using this make coffee per se .,1
152,exact fit for the culligan housing an easy change .,1
153,"when canning ,  you cannot do much else but watch the pressure gauge .",1
154,"in my wash on gentle cycle ,  with gentle detergent ,  in the most gentle fashion .",0
155,"i ve been using skincare with parabens for num_num or so years , they haven't hurt me yet .",0
156,its just outter shell for your phone .,1
157,"okaye ,  this toy arrived in little padded envelope .",0
158,i would like try the blue one tho .  .  . but they re super expensive .,0
159,"he said , i quote ,   well ,  what am i supposed do about it ?   .",0
160,first we tried going the dr took the pills he prescribed it didn't work .,0
161,i don't know what the heck everyone sees it this lenses .,0
162,"however ,  i no longer had the metabolism child .",0
163,the soap is thick paste with tingly menthol scent feel .,0
164,it split along seam; the catnip spilled out; the cat was done .,0
165,i use the app battery history see my battery usage .,1
166,"it looks nice clean , good quality for what you pay for .",1
167,"if not ,  after applying this product ,  you will get brownish stains on your tires .",0
168,we have had excellent results with num_num pound bag .,0
169,"if you do get bit mold ,  bleach will kill it quickly .",0
170,but this takes out the foam which straight turkish drinker love .,1
171,"love their lavender essential oil ,  but disliked their tea tree .",0
172,i ve been using misto sprayers for five years now would not use anything else for cooking .,1
173,this is super easy install is like brand new battery .,1
174,the wood is nice the pick is quite functional .,1
175,walnut oil is in the grocery section with your other cooking oils .,1
176,the cord is short but you can add an extension .,1
177,xylitol is supposed help remove biolfilms that protect the bacteria that are causing the infection .,0
178,it s rather depressing realize so many people are limited by their exposure better boardgames .,0
179,"in this case ,  amazon s price was several dollars cheaper than most the local stores .",1
180,"sturdy bowls at good value ,  but definitely not leak proof for food with any moisture .",1
181,i like the spout for ease pouring the rubber grip as well .,1
182,would not recommend unless you have lots patience help .,0
183,"i called the harman kardon customer service line , they kept me on hold for ten minutes .",0
184,"it is small ,  easily tranportable ,  lightweight , easy use .",1
185,"i left it in her dry food bowl , she would just eat the dry food around it .",0
186,the profiserie sitram line is easier softer handle .,1
187,"there are microphone control button on the cord ,  which is very handy .",1
188,"knowing most the reviews were probably bogus ,  i bought anyway .",0
189,the only negative was that it was smaller than i thought it would be .,1
190,very quick easy always ready on my counter .,1
191,"the wma experience was somewhat less consistant ,  with some tracks not playing all together ,  after certain point .",0
192,"while the software does work fine ,  i preferred using iphoto .",0
193,being using this one for my home made greek yogurt it works like charm .,1
194,but that wasn't what did me in . what did me in were the puzzles .,0
195,"my son likes this puzzle , the jumbo knobs are fabulous .",0
196,"hot liquids will cool much faster in heavy metal cup than in glass measure ,  too .",1
197,"today is the worst :  using it siphon off fat from roasting short ribs ,  the plastic tube started melting .",0
198,just bought one these used it this evening .,0
199,this product is very good cleans up easy after cooking no smoke cooks evenly .,1
200,these are very sturdy high quality pans .,1
201,i had borrowed an old one but stain rust had taken its toll .,1
202,"the mostimportant thing is that you can hear , be heard with this headset .",1
203,i expected bit more from the photo on the package .,0
204,i am so happy with this purchase !  i have an iphone num_extend which has stinky battery life .,1
205,"unfortunately ,  this evening bag does not have that .",0
206,"these shapes are so cute ,  i couldn't pass them up .",1
207,i only purchase the best products i can find .,0
208,"it certainly was easy prepare ,  just cut the top microwave .",0
209,quick storage but remember they are not sealed will let air in liquid out  if tipped over  .,1
210,i saw this in my local mall for $,1
211,"for example :  where conversion from upright attachment hose is concerned ,  it seems be counterintuitive design .",1
212,i ve been using this headset for few months couldn't be more pleased with the battery life .,1
213,i m at loss understand the negative reviews this product here on amazon .,1
214,it is entry level but only records one channel even though it is misleading with multiple inputs outputs .,0
215,i have not noticed the device getting significantly warmer when in use .,1
216,most sets like this have round mini ramekin that will dribble butter .,1
217,"or ,  maybe these things are all just crap .",0
218,"i had some issues getting it on with specks ,  dust ,  fuzz ,  fibers .",1
219,"i d like see bigger ,  better version what rising sun tried accomplish .",0
220,i highly recommend this over juicing by hand or with reamer .,1
221,"originally purchased num_extend ago , it still looks works the same as it always did .",1
222,"jabra should steal page from apple actually make packaging that is cool ,  functional , num_extend",0
223,i got hold the seller they are gonna refund me .,1
224,after num_num minutes normal play large piece the tractor snapped off .,0
